text,lemmas,ngrams,named_ents,sentiment
"The Brazilian unit of Finnish security solutions provider F-Secure signed up 1,500 new clients last year , online news source Reseller Web quoted the division 's commercial director , Vladimir Brand+_o , as saying .","['brazilian', 'unit', 'finnish', 'security', 'solution', 'provider', 'sign', 'new', 'client', 'year', 'online', 'news', 'source', 'quote', 'division', 'commercial', 'director', 'say']","['brazilian_unit', 'finnish_security', 'finnish_security_solution', 'finnish_security_solution_provider', 'new_client', 'last_year', 'online_news', 'online_news_source', 'commercial_director']",['Vladimir_Brand+_o/PERSON'],positive
"ST. PETERSBURG , Oct 14 ( PRIME-TASS ) Finnish tire producer Nokian Tyres plans to invest about 50 million euros in the expansion of its tire plant in the city of Vsevolozhsk in Russia 's Leningrad Region in 2011 , the company 's President Kim Gran told reporters Thursday .","['finnish', 'tire', 'producer', 'plan', 'invest', 'euro', 'expansion', 'tire', 'plant', 'city', 'company', 'tell', 'reporter']","['finnish_tire', 'finnish_tire_producer', 'tell_reporter']","['ST_./GPE', 'PETERSBURG/GPE', 'Vsevolozhsk/GPE', 'Russia/GPE', 'Leningrad_Region/FAC', 'Kim_Gran/PERSON']",positive
Finnish OKO bank has signed a cooperation agreement with Raiffeisen concerning Finnish companies ' investments in Russia .,"['finnish', 'bank', 'sign', 'cooperation', 'agreement', 'concern', 'finnish', 'company', 'investment']",['finnish_company'],['Russia/GPE'],positive
"Both operating profit and net sales for the three-month period increased , respectively from EUR15 .1 m and EUR131 .5 m , as compared to the corresponding period in 2005 .","['operate', 'profit', 'net', 'sale', 'month', 'period', 'increase', 'respectively', 'm', 'm', 'compare', 'corresponding', 'period']","['operate_profit', 'net_sale', 'corresponding_period']",[],positive
"The new office , located in Shenzhen , will strengthen Vaisala 's already 10-year old presence in China .","['new', 'office', 'locate', 'strengthen', 'year', 'old', 'presence']","['new_office', 'old_presence']","['Shenzhen/GPE', 'Vaisala/PERSON', 'China/GPE']",positive
"Insurer Axa ( PAR CS ) slid by 5.35 % to EUR 14.15 , after Citigroup and ING slashed their targets on the stock .","['slide', 'slash', 'target', 'stock']",[],[],negative
"'' Overall , we 're pleased with the startup curve ... and we 're pleased with the quality of the paper , '' Stora spokeswoman Patricia Dietz said Tuesday .","['overall', 'pleased', 'startup', 'curve', 'pleased', 'quality', 'paper', 'spokeswoman', 'say']",[],"['Stora/PERSON', 'Patricia_Dietz/PERSON']",positive
One attractive factor about the tablets for media companies is that they provide a new way of making money .,"['attractive', 'factor', 'tablet', 'medium', 'company', 'provide', 'new', 'way', 'make', 'money']","['attractive_factor', 'new_way', 'make_money']",[],positive
The measures result from decreased demand in technical design and product information .,"['measure', 'result', 'decrease', 'demand', 'technical', 'design', 'product', 'information']","['decrease_demand', 'technical_design']",[],negative
18 January 2010 Finnish IT consultancy Trainers ' House Oyj HEL TRH1V said last Friday it resolved to issue a EUR5m hybrid bond to domestic investors in a bid to strengthen its capital structure .,"['finnish', 'consultancy', 'say', 'resolve', 'issue', 'eur5', 'm', 'hybrid', 'bond', 'domestic', 'investor', 'bid', 'strengthen', 'capital', 'structure']","['hybrid_bond', 'domestic_investor']",[],positive
'' Stonesoft sees great promise in the future of IPv6 .,"['see', 'great', 'promise', 'future']",['great_promise'],['Stonesoft/PERSON'],positive
'' The acquisition of Elektros Pavara completes KONE 's market expansion strategy in the Baltic Countries .,"['acquisition', 'complete', 'market', 'expansion', 'strategy']",[],['Elektros_Pavara/PERSON'],positive
"Nokia will continue to invest in future development of Qt for the benefit of all users , both Commercial and LGPL .","['continue', 'invest', 'future', 'development', 'benefit', 'user']",['future_development'],['Qt/PRODUCT'],positive
It also turned in earnings per share ( EPS ) of EUR 0.44 versus loss per share of EUR 2.26 .,"['turn', 'earning', 'share', 'loss', 'share']",[],[],positive
The company will make its marketing and sales investments initiated in 2009 even more efficient in 2010 .,"['company', 'marketing', 'sale', 'investment', 'initiate', 'efficient']",[],[],positive
The operating margin of Aker Yards Cruise Ferries division went down from 8.3 % to 6.4 % in the first quarter of 2007 .,"['operate', 'margin', 'division', 'go', 'quarter']","['operate_margin', 'first_quarter']",['Aker_Yards_Cruise_Ferries/PRODUCT'],negative
Operating profit in the fourth quarter went down to EUR3m from EUR4 .2 m for the corresponding period of 2009 as it included costs of growth projects .,"['operate', 'profit', 'fourth', 'quarter', 'go', 'm', 'corresponding', 'period', 'include', 'cost', 'growth', 'project']","['operate_profit', 'fourth_quarter', 'corresponding_period', 'include_cost']",[],negative
"Kesko Agro Eesti , the retailer and wholesaler of grain , agricultural and warehousing machinery and accessories , had net sales of 81 million euros in 2007 , an increase by one-tenth over the preceding year .","['retailer', 'wholesaler', 'grain', 'agricultural', 'warehousing', 'machinery', 'accessory', 'net', 'sale', 'euro', 'increase', 'tenth', 'precede', 'year']","['net_sale', 'precede_year']",[],positive
"Exports accounted for 65.4 % of net sales , representing an all time record for the company .","['export', 'account', 'net', 'sale', 'represent', 'time', 'record', 'company']",['net_sale'],[],positive
"The recovery of demand that started toward the end of 2009 , continued in January-March 2010 .","['recovery', 'demand', 'start', 'end', 'continue']",[],[],positive
"( Filippova ) A trilateral agreement on investment in the construction of a technology park in St Petersburg was to have been signed in the course of the forum , Days of the Russian Economy , that opened in Helsinki today .","['trilateral', 'agreement', 'investment', 'construction', 'technology', 'park', 'sign', 'course', 'forum', 'day', 'russian', 'open', 'today']",['trilateral_agreement'],"['Filippova/PERSON', 'St_Petersburg/GPE', 'Helsinki/GPE']",positive
"Sales for both the Department Store Division and Hobby Hall increased by 7 % , while sales for the clothing store subsidiary Seppala decreased by 4 % .","['sale', 'increase', 'sale', 'clothing', 'store', 'subsidiary', 'decrease']",[],['Seppala/GPE'],positive
Finnish operator Elisa and Aker Yards have signed a long-term service deal through which Elisa will deliver all necessary voice and data services for Aker Yards in Finland .,"['finnish', 'operator', 'sign', 'long', 'term', 'service', 'deal', 'deliver', 'necessary', 'voice', 'datum', 'service']","['finnish_operator', 'necessary_voice']","['Elisa/PERSON', 'Aker_Yards/PERSON', 'Aker_Yards/FAC', 'Finland/GPE']",positive
"The largest restructuring is planned for Italy , where negotiations on about 40 job cuts are to be initiated today , the company noted .","['large', 'restructuring', 'plan', 'negotiation', 'job', 'cut', 'initiate', 'today', 'company', 'note']","['large_restructuring', 'initiate_today']",['Italy/GPE'],negative
Layoffs will also take place at the Suomussalmi and Kuhmo plants this autumn as a result of codetermination negotiations held there .,"['layoff', 'place', 'plant', 'autumn', 'result', 'codetermination', 'negotiation', 'hold']",['take_place'],[],negative
"The international electronic industry company Elcoteq has laid off tens of employees from its Tallinn facility ; contrary to earlier layoffs the company contracted the ranks of its office workers , the daily Postimees reported .","['international', 'electronic', 'industry', 'company', 'lay', 'ten', 'employee', 'facility', 'contrary', 'early', 'layoff', 'company', 'contract', 'rank', 'office', 'worker', 'daily', 'report']","['electronic_industry', 'electronic_industry_company', 'early_layoff']",['Tallinn/GPE'],negative
He also mentions that this improvement to the service follows the recent expansion of the Finnlines service from Bilbao via Antwerp and Helsinki and from Hull via Helsinki to St. Petersburg .,"['mention', 'improvement', 'service', 'follow', 'recent', 'expansion', 'service']",['recent_expansion'],"['Bilbao/GPE', 'Antwerp/GPE', 'Helsinki/GPE', 'Hull/PERSON', 'Helsinki/GPE', 'St._Petersburg/GPE']",positive
"Xerox and Stora Enso have teamed up to tailor the iGen3 to the short-run , on-demand packaging market .","['team', 'tailor', 'igen3', 'short', 'run', 'demand', 'packaging', 'market']",[],['Stora_Enso/PERSON'],positive
"HELSINKI ( AFX ) Retail and wholesale group Kesko reported net sales of 659.4 mln eur for February , an increase of 10.8 pct year-on-year .","['wholesale', 'group', 'report', 'net', 'sale', 'mln', 'increase', 'pct', 'year', 'year']","['wholesale_group', 'net_sale']",[],positive
This new partnership agreement represents a significant milestone for both parties .,"['new', 'partnership', 'agreement', 'represent', 'significant', 'milestone', 'party']","['new_partnership', 'new_partnership_agreement', 'significant_milestone']",[],positive
"Separately , YIT Corporation and Austrian firm E AG last week signed an agreement on the sale of E 's building system service business in Germany , Austria , Poland , the Czech Republic , Hungary and Romania for EUR 55 mln .","['separately', 'austrian', 'firm', 'week', 'sign', 'agreement', 'sale', 'building', 'system', 'service', 'business', 'mln']","['austrian_firm', 'last_week']","['Germany/GPE', 'Austria/GPE', 'Poland/GPE', 'Czech_Republic/GPE', 'Hungary/GPE', 'Romania/GPE']",positive
"However , the broker gave an '' outperform '' recommendation on the stock .","['broker', 'give', 'outperform', 'recommendation', 'stock']",[],[],positive
"ADP News Nov 18 , 2008 Finnish AC drives manufacturer Vacon Oyj OMX VAC1V said today that it had set up new representative offices in Romania and Ukraine to serve the growing markets in eastern and southeastern Europe .","['finnish', 'drive', 'manufacturer', 'say', 'today', 'set', 'new', 'representative', 'office', 'serve', 'grow', 'market', 'eastern', 'southeastern']","['drive_manufacturer', 'say_today', 'representative_office', 'grow_market']","['Romania/GPE', 'Ukraine/GPE']",positive
"Cooper SH , the UK distributor for lift equipment manufacturer Konecranes , won the five-year deal which involves low maintenance and fuel saving technologies .","['distributor', 'lift', 'equipment', 'manufacturer', 'win', 'year', 'deal', 'involve', 'low', 'maintenance', 'fuel', 'saving', 'technology']",['low_maintenance'],"['Cooper_SH/PERSON', 'UK/GPE', 'Konecranes/PRODUCT']",positive
"The six breweries recorded a 5.2 percent growth in domestic beer sales last year to 270.21 million liters , from 256.88 million liters sold in 2005 .","['brewery', 'record', 'percent', 'growth', 'domestic', 'beer', 'sale', 'year', 'liter', 'liter', 'sell']","['domestic_beer', 'domestic_beer_sale', 'last_year']",[],positive
"In January , traffic , measured in revenue passenger kilometres RPK , went up by 3.2 % and capacity , measured in available seat kilometres ASK , rose by 12.2 % .","['traffic', 'measure', 'revenue', 'passenger', 'kilometre', 'go', 'capacity', 'measure', 'available', 'seat', 'kilometre', 'rise']","['available_seat', 'available_seat_kilometre']",[],positive
"'' We are proud to welcome another distribution facility to north Mississippi and the region known as the logistics center of the United States , '' said Gray Swoope , executive director of MDA .","['proud', 'welcome', 'distribution', 'facility', 'north', 'region', 'know', 'logistic', 'center', 'say', 'executive', 'director']",['executive_director'],"['Mississippi/GPE', 'United_States/GPE', 'Gray_Swoope/PERSON']",positive
"Net sales will , however , increase from 2005 .","['net', 'sale', 'increase']",['net_sale'],[],positive
"Finnish power supply solutions and systems provider Efore Oyj said its net loss widened to 3.2 mln euro $ 4.2 mln for the first quarter of fiscal 2006-2007 ending October 31 , 2007 from 900,000 euro $ 1.2 mln for the same period of fiscal 2005-06 .","['finnish', 'power', 'supply', 'solution', 'system', 'provider', 'say', 'net', 'loss', 'widen', 'mln', 'euro', 'mln', 'quarter', 'fiscal', 'end', 'euro', 'mln', 'period', 'fiscal']","['finnish_power', 'finnish_power_supply', 'finnish_power_supply_solution', 'net_loss', 'first_quarter', 'same_period']",[],negative
"SSH COMMUNICATIONS SECURITY CORP STOCK EXCHANGE RELEASE OCTOBER 14 , 2008 AT 2:45 PM The Company updates its full year outlook and estimates its results to remain at loss for the full year .","['update', 'year', 'outlook', 'estimate', 'result', 'remain', 'loss', 'year']","['full_year', 'full_year_outlook', 'full_year']",[],negative
Operating profit improved by 16.7 % to EUR 7.7 mn .,"['operate', 'profit', 'improve']",['operate_profit'],[],positive
EB announced in its stock exchange release on November 18th 2008 that J.T. Bergqvist has resigned from the chairmanship and membership of the Board of EB .,"['announce', 'stock', 'exchange', 'release', '18th', 'resign', 'chairmanship', 'membership']",[],['J.T._Bergqvist/PERSON'],negative
Peer Peugeot fell 0.81 pct as its sales rose only 6.3 pct from the same period last year .,"['fall', 'pct', 'sale', 'rise', 'pct', 'period', 'year']","['same_period', 'last_year']",[],negative
"Operating profit , excluding non-recurring items , totalled EUR 1.0 mn , down from EUR 1.6 mn .","['operate', 'profit', 'exclude', 'non', 'recurring', 'item', 'total']","['operate_profit', 'recurring_item']",[],negative
"At the same time profit of the company increased by 10 % in H1 and reached Ls 79,000 .","['time', 'profit', 'company', 'increase', 'h1', 'reach']","['same_time', 'same_time_profit']",[],positive
"For Teleste , the acquisition marks an entry into services business in a market where it has long been an established and significant supplier of products .","['acquisition', 'mark', 'entry', 'service', 'business', 'market', 'long', 'established', 'significant', 'supplier', 'product']",['significant_supplier'],['Teleste/PERSON'],positive
Raute Corporation has received orders worth over EUR 12 million from OOO Ilim Bratsk DOK in Russia .,"['receive', 'order', 'worth']",['receive_order'],['Russia/GPE'],positive
"MD Henning Bahr of Stockmann Gruppen praises the trend , since the chains become stronger and their decision-making processes more clear .","['praise', 'trend', 'chain', 'strong', 'decision', 'making', 'process', 'clear']",[],['MD_Henning_Bahr/PERSON'],positive
"We are honored to be recognized by Gartner as a specialist in Business Process Modeling and Analysis , in the company of many of the largest software vendors in the world .","['honor', 'recognize', 'specialist', 'company', 'large', 'software', 'vendor', 'world']","['large_software', 'large_software_vendor']",[],positive
Finnish-Swedish Stora Enso does not understand the decision issued by a federal judge in Brazil concerning Stora Enso 's associated pulp company Veracel .,"['finnish', 'swedish', 'understand', 'decision', 'issue', 'federal', 'judge', 'concern', 'associate', 'pulp', 'company']","['federal_judge', 'associate_pulp', 'associate_pulp_company']","['Stora_Enso/PERSON', 'Brazil/GPE', ""Stora_Enso_'s/PERSON""]",negative
"'' In the newly formed company YIT Stavo the local contact network , expertise and market know how of Euro Stavokonsult will be combined with YIT 's housing concept , '' said Juha Kostiainen , Yit 's Vice President , Corporate Communications and Business Development .","['newly', 'form', 'company', 'local', 'contact', 'network', 'expertise', 'market', 'know', 'combine', 'housing', 'concept', 'say']","['form_company', 'local_contact', 'local_contact_network']","['Juha_Kostiainen/PERSON', 'Yit/PERSON']",positive
"However , the company saw its net profit for the third quarter down to EUR 1.4 million from EUR 1.5 million for the corresponding period of 2009 .","['company', 'see', 'net', 'profit', 'quarter', 'corresponding', 'period']","['net_profit', 'third_quarter', 'corresponding_period']",[],negative
"( ADP News ) Feb 6 , 2009 Finnish fishing tackle company Rapala VMC Corp ( HEL RAP1V ) said today its net profit rose to EUR 19.2 million ( USD 24.6 m ) for 2008 from EUR 17.5 million for 2007 .","['finnish', 'fishing', 'tackle', 'company', 'say', 'today', 'net', 'profit', 'rise', 'usd', 'm']","['finnish_fishing', 'finnish_fishing_tackle', 'finnish_fishing_tackle_company', 'say_today', 'net_profit']",[],positive
The new policy was also aimed at making the companies more profitable and competitive .,"['new', 'policy', 'aim', 'make', 'company', 'profitable', 'competitive']",['new_policy'],[],positive
"Profit after taxes for the period was up to EUR0 .9 m , from EUR0 .01 m last year .","['profit', 'taxis', 'period', 'm', 'm', 'year']",['last_year'],[],positive
"Incap Contract Manufacturing Services Pvt Ltd , a subsidiary of Incap Corporation of Finland , plans to double its revenues by 2007-2008 .","['subsidiary', 'plan', 'double', 'revenue']",[],[],positive
"Glaston , headquartered in Tampere , Finland , is a growing , international glass technology company .","['headquarter', 'grow', 'international', 'glass', 'technology', 'company']","['international_glass', 'international_glass_technology', 'international_glass_technology_company']","['Glaston/PERSON', 'Tampere/GPE', 'Finland/GPE']",positive
EuroChem CFO Andrey Ilyin said '' This facility marks another important step for EuroChem in securing the long-term financing necessary for our potash and other strategic projects '' .,"['say', 'facility', 'mark', 'important', 'step', 'secure', 'long', 'term', 'financing', 'necessary', 'potash', 'strategic', 'project']","['important_step', 'strategic_project']",['Andrey_Ilyin/PERSON'],positive
Operating profit fell to EUR 6.2 mn from EUR 8.5 mn in the third quarter of 2007 .,"['operate', 'profit', 'fall', 'quarter']","['operate_profit', 'third_quarter']",[],negative
Pretax profit totaled EUR 4.9 mn compared to EUR 5.2 mn in the first quarter of 2005 .,"['pretax', 'profit', 'total', 'compare', 'quarter']","['pretax_profit', 'first_quarter']",[],negative
"The Group 's sales during the period were EUR 37.5 million ( EUR 48.2 million , 1-9/2008 ) and result before taxes was a loss of EUR 3.5 ( +1.2 ) million .","['sale', 'period', 'result', 'taxis', 'loss']",[],[],negative
"In the Baltic countries , sales fell by 42.6 % .","['baltic', 'country', 'sale', 'fall']",['baltic_country'],[],negative
The objective of the planned measures is to achieve significant savings in the next few years .,"['objective', 'plan', 'measure', 'achieve', 'significant', 'saving', 'year']","['plan_measure', 'significant_saving', 'few_year']",[],positive
One of my colleagues summed up the E7 quite aptly when he remarked '' Fantastic hardware .,"['colleague', 'sum', 'aptly', 'remark', 'fantastic', 'hardware']",['fantastic_hardware'],[],positive
"This location makes the mall a convenient place to shop for consumers from three large residential areas nearby Jaroszowka , Wysockiego and Zgody .","['location', 'make', 'mall', 'convenient', 'place', 'shop', 'consumer', 'large', 'residential', 'area', 'nearby']","['convenient_place', 'residential_area']","['Jaroszowka/GPE', 'Wysockiego/PERSON', 'Zgody/PERSON']",positive
The acquisition will have an immediate positive impact on Aspocomp 's financial result .,"['acquisition', 'immediate', 'positive', 'impact', 'financial', 'result']","['positive_impact', 'financial_result']",[],positive
"The sale will result in a capital loss of EUR5m for Solidium , which obtained Tikkurila shares in March 2010 .","['sale', 'result', 'capital', 'loss', 'm', 'obtain', 'share']",[],[],negative
The third order awarded to Outokumpu Technology is by Shalkiya Zinc of Kazakhstan for the Shalkiya zinc-lead project in Kazakhstan .,"['order', 'award', 'zinc', 'lead', 'project']",['third_order'],"['Kazakhstan/GPE', 'Kazakhstan/GPE']",positive
UPM stock fell 3 percent to EURO 12.49 $ 17.24 in early afternoon trading in Helsinki .,"['upm', 'stock', 'fall', 'percent', 'euro', 'early', 'afternoon', 'trading']","['upm_stock', 'early_afternoon', 'early_afternoon_trading']",['Helsinki/GPE'],negative
Sales at the unit slumped last year after the industry was hit by poor snowfall in the major resorts in the winter of 2006-07 .,"['sale', 'unit', 'slump', 'year', 'industry', 'hit', 'poor', 'snowfall', 'major', 'resort', 'winter']","['last_year', 'poor_snowfall', 'major_resort']",[],negative
"Finnish Kemira 's net sales EUR decreased to EUR 1,259.6 mn in January-June 2009 from EUR 1,425.1 mn in January-June 2008 .","['net', 'sale', 'decrease']",['net_sale'],[],negative
Elcoteq has a proven track record in electronics manufacturing services ( EMS ) and a global factory network coupled with modern manufacturing equipment and consistent systems and processes .,"['prove', 'track', 'record', 'electronic', 'manufacturing', 'service', 'global', 'factory', 'network', 'couple', 'modern', 'manufacturing', 'equipment', 'consistent', 'system', 'process']","['prove_track', 'prove_track_record', 'global_factory', 'global_factory_network', 'modern_manufacturing', 'modern_manufacturing_equipment', 'consistent_system']",[],positive
"KAUKO-TELKO LTD PRESS RELEASE 19.06.2007 AT 14.00 1 ( 1 ) Telko Group ( Kauko-Telko ) is expanding its strategic partnership with BP Industrial Lubricants Services ( BP ILS ) by acquiring total ownership of BP 's Swedish retail company , Molub-Alloy AB .","['press', 'release', 'expand', 'strategic', 'partnership', 'acquire', 'total', 'ownership', 'swedish', 'retail', 'company']","['strategic_partnership', 'total_ownership', 'retail_company']",[],positive
Korhonen was dismissed from her post of editor in chief of the group 's newspaper Lapin Kansa in December 2008 .,"['dismiss', 'post', 'editor', 'chief', 'group', 'newspaper']",[],['Lapin_Kansa/PERSON'],negative
"'' Beyond the improved voice capabilities , customers now have a streamlined way to comply with recalls and other traceability requirements , providing them with a competitive advantage .","['improved', 'voice', 'capability', 'customer', 'streamlined', 'way', 'comply', 'recall', 'traceability', 'requirement', 'provide', 'competitive', 'advantage']","['improved_voice', 'improved_voice_capability', 'streamlined_way', 'other_traceability', 'other_traceability_requirement', 'competitive_advantage']",[],positive
